"","LMA_g_DW_m2.7.comps"
"(Intercept)",48.4354577856958
"Wave_500",0.198400273006276
"Wave_501",0.170483345794287
"Wave_502",-0.0909155039006353
"Wave_503",-0.232518838814304
"Wave_504",-0.179968223821918
"Wave_505",-0.124351604814097
"Wave_506",-0.298566015047259
"Wave_507",-0.708709263487037
"Wave_508",-1.03730511035209
"Wave_509",-1.11231591467179
"Wave_510",-1.33080772692238
"Wave_511",-1.7446254734595
"Wave_512",-2.20482197437113
"Wave_513",-2.64966046184775
"Wave_514",-3.00089609863188
"Wave_515",-3.38723296749615
"Wave_516",-3.95234601136456
"Wave_517",-4.57586979723629
"Wave_518",-5.23013064494478
"Wave_519",-5.8426904323619
"Wave_520",-6.45193612821337
"Wave_521",-7.06510439911667
"Wave_522",-7.62705675978014
"Wave_523",-8.04308630236833
"Wave_524",-8.44331813935382
"Wave_525",-8.84620157945868
"Wave_526",-9.16239290271339
"Wave_527",-9.46250728963745
"Wave_528",-9.66116345985841
"Wave_529",-9.67351607517514
"Wave_530",-9.76838474225202
"Wave_531",-9.83781539477003
"Wave_532",-9.75729422723815
"Wave_533",-9.60547855583987
"Wave_534",-9.41549959179644
"Wave_535",-9.19517677229093
"Wave_536",-8.97203362941974
"Wave_537",-8.74828212256117
"Wave_538",-8.56704072900568
"Wave_539",-8.38821582938656
"Wave_540",-8.0995444942298
"Wave_541",-7.84946818735262
"Wave_542",-7.62733635905775
"Wave_543",-7.44856293104151
"Wave_544",-7.26512470465514
"Wave_545",-7.06942790198795
"Wave_546",-6.98234670202635
"Wave_547",-6.87267642205945
"Wave_548",-6.73512379719362
"Wave_549",-6.60084551873437
"Wave_550",-6.51594853664547
"Wave_551",-6.48944477900585
"Wave_552",-6.43197157074617
"Wave_553",-6.38638808479088
"Wave_554",-6.29376881361183
"Wave_555",-6.1616187893072
"Wave_556",-6.03760451672287
"Wave_557",-5.91359985102593
"Wave_558",-5.75500730096283
"Wave_559",-5.5425655906195
"Wave_560",-5.32486707611138
"Wave_561",-5.02485791177182
"Wave_562",-4.63766365356941
"Wave_563",-4.30267862485617
"Wave_564",-3.96819946143767
"Wave_565",-3.6077148187075
"Wave_566",-3.21686883750249
"Wave_567",-2.79746082672852
"Wave_568",-2.36817168699952
"Wave_569",-1.96559984851997
"Wave_570",-1.61324232965137
"Wave_571",-1.27221958540016
"Wave_572",-0.908824015485359
"Wave_573",-0.566234243250596
"Wave_574",-0.256543799569944
"Wave_575",0.0135704368420887
"Wave_576",0.28833796875696
"Wave_577",0.478014872356326
"Wave_578",0.635532153474248
"Wave_579",0.864345790278439
"Wave_580",1.07953420954854
"Wave_581",1.27051514894253
"Wave_582",1.45076626584115
"Wave_583",1.63526140947347
"Wave_584",1.77290460488708
"Wave_585",1.87521770789282
"Wave_586",2.03433259771061
"Wave_587",2.17955391301626
"Wave_588",2.31404402889768
"Wave_589",2.44512227799765
"Wave_590",2.55577425600751
