"","ADF_PERC_DW.13.comps"
"(Intercept)",17.8435904393129
"Wave_1200",139.439467922468
"Wave_1201",140.125348046862
"Wave_1202",140.963065466511
"Wave_1203",133.770431974809
"Wave_1204",129.919065385685
"Wave_1205",133.074573739169
"Wave_1206",132.939641946695
"Wave_1207",128.345849262653
"Wave_1208",124.950987519832
"Wave_1209",119.067856099112
"Wave_1210",113.329894305846
"Wave_1211",109.382617407344
"Wave_1212",103.412393449635
"Wave_1213",95.7797064623228
"Wave_1214",85.9244082822582
"Wave_1215",75.4830040320874
"Wave_1216",69.346696892266
"Wave_1217",61.9294830066388
"Wave_1218",51.3522351636099
"Wave_1219",40.3213786382069
"Wave_1220",33.3205693786747
"Wave_1221",26.5294252292964
"Wave_1222",21.5536630562838
"Wave_1223",16.19719791423
"Wave_1224",10.2615396370661
"Wave_1225",2.28658419863232
"Wave_1226",-1.86240313375722
"Wave_1227",-3.76882827932757
"Wave_1228",-10.3650450863479
"Wave_1229",-15.7772343250483
"Wave_1230",-16.6715418741534
"Wave_1231",-18.6989877640864
"Wave_1232",-21.0138919018787
"Wave_1233",-23.7089889485136
"Wave_1234",-26.434099372847
"Wave_1235",-31.7060602859054
"Wave_1236",-38.4404881631514
"Wave_1237",-39.655871229757
"Wave_1238",-40.7805393614716
"Wave_1239",-43.8012005094466
"Wave_1240",-44.9133134185836
"Wave_1241",-43.2310268167363
"Wave_1242",-45.4295302458304
"Wave_1243",-49.4563942819024
"Wave_1244",-50.0212381755256
"Wave_1245",-48.5096930312836
"Wave_1246",-44.6107607038701
"Wave_1247",-41.5968174497344
"Wave_1248",-43.4431996848703
"Wave_1249",-46.3311212443185
"Wave_1250",-48.4638090332595
"Wave_1251",-51.8616168833716
"Wave_1252",-51.2918724966657
"Wave_1253",-48.5198126929247
"Wave_1254",-49.2778753462407
"Wave_1255",-50.7410144695952
"Wave_1256",-51.8420429697416
"Wave_1257",-53.5113202500102
"Wave_1258",-55.9442907154464
"Wave_1259",-57.7657278388221
"Wave_1260",-56.1046746624006
"Wave_1261",-53.4177115629015
"Wave_1262",-54.0784153228832
"Wave_1263",-56.5600034611736
"Wave_1264",-56.8786525639649
"Wave_1265",-55.7442119366016
"Wave_1266",-57.7143939080526
"Wave_1267",-59.3086874577291
"Wave_1268",-57.7555031731144
"Wave_1269",-56.2768072897187
"Wave_1270",-59.123429781771
"Wave_1271",-61.366283911144
"Wave_1272",-59.456587237915
"Wave_1273",-58.2514372821657
"Wave_1274",-59.1800046351525
"Wave_1275",-58.6322395880467
"Wave_1276",-55.4571306112556
"Wave_1277",-55.4338433577991
"Wave_1278",-56.8758775190841
"Wave_1279",-53.8705327820817
"Wave_1280",-50.659304961914
"Wave_1281",-52.5897800748694
"Wave_1282",-53.4186570122111
"Wave_1283",-50.2340794566318
"Wave_1284",-48.1843578510496
"Wave_1285",-48.2611548614805
"Wave_1286",-48.1927234701185
"Wave_1287",-43.7872634677198
"Wave_1288",-39.1172535141376
"Wave_1289",-37.2988421767901
"Wave_1290",-34.7535077112444
"Wave_1291",-30.8956500343825
"Wave_1292",-26.0155665831746
"Wave_1293",-21.0854410266534
"Wave_1294",-18.9075476053126
"Wave_1295",-17.9786873743667
"Wave_1296",-13.3332813985636
"Wave_1297",-8.21864394118784
"Wave_1298",-6.56450789377747
"Wave_1299",-1.83470362678274
"Wave_1300",3.72645356700281
"Wave_1301",3.99638592276672
"Wave_1302",6.06391163217084
"Wave_1303",12.7906908473901
"Wave_1304",15.9645764403658
"Wave_1305",16.9115982827444
"Wave_1306",18.5782638619504
"Wave_1307",19.9707696708335
"Wave_1308",20.6712970326894
"Wave_1309",23.9265746850557
"Wave_1310",29.6962988584865
"Wave_1311",31.9966459631928
"Wave_1312",30.3718508373165
"Wave_1313",30.8469939180189
"Wave_1314",30.9595519325409
"Wave_1315",33.4439188029449
"Wave_1316",37.3502418585959
"Wave_1317",41.456422926148
"Wave_1318",43.8668924792907
"Wave_1319",41.5823634001094
"Wave_1320",40.9001577721816
"Wave_1321",45.6961987260485
"Wave_1322",50.7497498452003
"Wave_1323",51.8255715099911
"Wave_1324",51.4923728333611
"Wave_1325",53.2744661701778
"Wave_1326",54.759267729805
"Wave_1327",55.4508857579089
"Wave_1328",58.1211815639257
"Wave_1329",57.2443492688907
"Wave_1330",55.7082444956642
"Wave_1331",57.069577414131
"Wave_1332",56.6521515910922
"Wave_1333",54.0737724063584
"Wave_1334",53.7555614317678
"Wave_1335",55.3136022720728
"Wave_1336",55.9680595248934
"Wave_1337",54.6577538205308
"Wave_1338",52.5573862615766
"Wave_1339",49.0291578420227
"Wave_1340",46.0590206055346
"Wave_1341",43.3297288550465
"Wave_1342",39.0214938137049
"Wave_1343",32.8432080224986
"Wave_1344",29.056486617441
"Wave_1345",28.9305849445074
"Wave_1346",29.1077397247011
"Wave_1347",27.6382217069581
"Wave_1348",23.8212682351013
"Wave_1349",20.6259092093923
"Wave_1350",16.6529381223007
"Wave_1351",11.7463409471306
"Wave_1352",7.53596848387053
"Wave_1353",2.46735891362906
"Wave_1354",-0.553645093686667
"Wave_1355",-2.48898246684726
"Wave_1356",-5.37161995194666
"Wave_1357",-7.39186863416498
"Wave_1358",-10.9151018500128
"Wave_1359",-15.1554890930096
"Wave_1360",-16.1300544363977
"Wave_1361",-15.5090822650308
"Wave_1362",-18.3491841939546
"Wave_1363",-18.7112817466433
"Wave_1364",-22.1236362907629
"Wave_1365",-25.9785629064873
"Wave_1366",-30.5539971630394
"Wave_1367",-29.662155654132
"Wave_1368",-32.2559398396925
"Wave_1369",-37.1136494845878
"Wave_1370",-43.4310041263681
"Wave_1371",-41.2165816711361
"Wave_1372",-42.0219695918299
"Wave_1373",-44.1305894694458
"Wave_1374",-43.8299546217687
"Wave_1375",-38.4274401887625
"Wave_1376",-34.9274569240052
"Wave_1377",-36.8461793476683
"Wave_1378",-36.2772709235984
"Wave_1379",-33.0169846710482
"Wave_1380",-33.0984260997118
"Wave_1381",-36.9774706038999
"Wave_1382",-34.4135035853247
"Wave_1383",-33.7410382124509
"Wave_1384",-30.2018972031079
"Wave_1385",-34.8807634395634
"Wave_1386",-33.6723180620481
"Wave_1387",-33.0660663874615
"Wave_1388",-27.323756539994
"Wave_1389",-34.5001316872689
"Wave_1390",-35.707083995715
"Wave_1391",-32.3202342627942
"Wave_1392",-29.91824738435
"Wave_1393",-33.3199075947008
"Wave_1394",-36.023195239624
"Wave_1395",-29.745976269631
"Wave_1396",-25.9672673699953
"Wave_1397",-25.8917824061248
"Wave_1398",-28.5966107229373
"Wave_1399",-23.2762445866533
"Wave_1400",-18.0719897699107
"Wave_1401",-12.2355031933931
"Wave_1402",-12.9736739695292
"Wave_1403",-11.2385325006351
"Wave_1404",-6.99507567781066
"Wave_1405",-2.88769058489513
"Wave_1406",-4.58011942385971
"Wave_1407",-2.72955753379894
"Wave_1408",0.234787071342657
"Wave_1409",-3.42891449881822
"Wave_1410",-5.78270842556799
"Wave_1411",-6.55649344517904
"Wave_1412",-5.22454201063394
"Wave_1413",-6.87272598849726
"Wave_1414",-6.4839026480619
"Wave_1415",-8.47820954589356
"Wave_1416",-8.72185971210793
"Wave_1417",-12.6057544467959
"Wave_1418",-11.6856625458597
"Wave_1419",-14.6681918715113
"Wave_1420",-15.1005065675905
"Wave_1421",-16.6124641849906
"Wave_1422",-15.1949166030452
"Wave_1423",-17.3239534189058
"Wave_1424",-14.8117571194982
