"","ADL_PERC_DW.13.comps"
"(Intercept)",-0.0891308423620103
"Wave_1200",97.7824319165517
"Wave_1201",99.9230592083361
"Wave_1202",100.958766999722
"Wave_1203",98.8576410004949
"Wave_1204",97.7833401123958
"Wave_1205",97.0587276036963
"Wave_1206",95.9512008220296
"Wave_1207",92.709735951285
"Wave_1208",88.2778138944389
"Wave_1209",83.686066562715
"Wave_1210",81.6808488873969
"Wave_1211",79.8151055448142
"Wave_1212",75.1181167485005
"Wave_1213",70.2419030739889
"Wave_1214",64.6361009845412
"Wave_1215",56.7474286295618
"Wave_1216",52.130254236084
"Wave_1217",49.260067337633
"Wave_1218",43.1859390694452
"Wave_1219",35.97987040324
"Wave_1220",30.1380861193631
"Wave_1221",23.9612880574957
"Wave_1222",19.1496447741235
"Wave_1223",15.2724115165617
"Wave_1224",10.7376330212236
"Wave_1225",5.54593641484292
"Wave_1226",2.9566350712382
"Wave_1227",0.656014980350803
"Wave_1228",-2.68156171164894
"Wave_1229",-5.85638961537678
"Wave_1230",-8.49164395660236
"Wave_1231",-9.92861369725719
"Wave_1232",-11.0833011148837
"Wave_1233",-14.3168780886587
"Wave_1234",-17.8343857601072
"Wave_1235",-20.7133021356393
"Wave_1236",-24.0391854261407
"Wave_1237",-26.3908581430316
"Wave_1238",-28.0854818290837
"Wave_1239",-28.2979415593107
"Wave_1240",-27.7559112189694
"Wave_1241",-28.002678103925
"Wave_1242",-29.4667367973418
"Wave_1243",-31.3103363519073
"Wave_1244",-32.1386431834189
"Wave_1245",-30.7019897769678
"Wave_1246",-29.6161646890689
"Wave_1247",-30.0964813573617
"Wave_1248",-30.2530963990973
"Wave_1249",-30.3052476179836
"Wave_1250",-31.5960326583158
"Wave_1251",-32.3769080027943
"Wave_1252",-31.2969221751639
"Wave_1253",-33.1200648446566
"Wave_1254",-35.5481274268702
"Wave_1255",-36.572424945389
"Wave_1256",-37.3166185226919
"Wave_1257",-36.792285807065
"Wave_1258",-38.1815712217021
"Wave_1259",-39.5356901616225
"Wave_1260",-37.5325546046597
"Wave_1261",-36.3253839267563
"Wave_1262",-37.9779960021986
"Wave_1263",-39.5641584463129
"Wave_1264",-38.0178006218075
"Wave_1265",-38.4720438675542
"Wave_1266",-41.3833274250131
"Wave_1267",-42.2587649489854
"Wave_1268",-42.511563304909
"Wave_1269",-43.4237548625512
"Wave_1270",-43.9431748257082
"Wave_1271",-43.739710331103
"Wave_1272",-43.6239717806216
"Wave_1273",-43.6177272874003
"Wave_1274",-43.6533585527811
"Wave_1275",-43.3910014138064
"Wave_1276",-42.6101711880378
"Wave_1277",-42.7869499792513
"Wave_1278",-41.7262433837664
"Wave_1279",-40.0943107953288
"Wave_1280",-40.1492216229584
"Wave_1281",-40.4358829586211
"Wave_1282",-39.5131796838329
"Wave_1283",-37.2998836174534
"Wave_1284",-34.3882104248377
"Wave_1285",-34.4369528227705
"Wave_1286",-34.9411953955564
"Wave_1287",-34.1795944416962
"Wave_1288",-31.9559677608548
"Wave_1289",-30.1140730679139
"Wave_1290",-27.766304996812
"Wave_1291",-25.4724180660192
"Wave_1292",-23.6076969221924
"Wave_1293",-20.0833639179817
"Wave_1294",-17.6786797996771
"Wave_1295",-18.5880742973436
"Wave_1296",-17.3141439879563
"Wave_1297",-12.4783521214888
"Wave_1298",-8.62306073103716
"Wave_1299",-4.91295591834448
"Wave_1300",-2.93117157908679
"Wave_1301",-3.67705020937382
"Wave_1302",-1.16876276890581
"Wave_1303",2.98325083449589
"Wave_1304",5.31318281697622
"Wave_1305",7.56356489763801
"Wave_1306",9.32588831260717
"Wave_1307",10.2545651615432
"Wave_1308",12.4424276822791
"Wave_1309",15.0259981644275
"Wave_1310",17.0540200168722
"Wave_1311",15.7846514170788
"Wave_1312",14.686412286669
"Wave_1313",18.235096925115
"Wave_1314",19.8078594143386
"Wave_1315",18.8754577316139
"Wave_1316",21.6728635387378
"Wave_1317",25.7482147798063
"Wave_1318",25.4157626133949
"Wave_1319",23.9409041949561
"Wave_1320",25.1942177848238
"Wave_1321",26.7049284563882
"Wave_1322",27.8037753416161
"Wave_1323",30.6416416922865
"Wave_1324",32.141132144656
"Wave_1325",32.0379500785355
"Wave_1326",33.4285608766788
"Wave_1327",34.8554909517974
"Wave_1328",35.0651908961686
"Wave_1329",36.677484572168
"Wave_1330",38.6594197992815
"Wave_1331",37.4881999909541
"Wave_1332",35.3432160940743
"Wave_1333",36.5167229865122
"Wave_1334",36.7424946644594
"Wave_1335",35.3201129328803
"Wave_1336",36.563800264688
"Wave_1337",36.7017154640348
"Wave_1338",34.4104939446109
"Wave_1339",33.2093248471695
"Wave_1340",32.6612240403485
"Wave_1341",30.6341411641246
"Wave_1342",26.9340257914655
"Wave_1343",23.6818795231416
"Wave_1344",22.9243309519622
"Wave_1345",22.3279821454495
"Wave_1346",20.964741567084
"Wave_1347",19.1678338166957
"Wave_1348",16.7842054868227
"Wave_1349",15.07063113248
"Wave_1350",13.6619167264856
"Wave_1351",12.2905777697034
"Wave_1352",10.3576081225113
"Wave_1353",8.59949834459629
"Wave_1354",7.23797237527965
"Wave_1355",5.66911585234067
"Wave_1356",4.75193593329067
"Wave_1357",3.72756298200451
"Wave_1358",1.51227688178114
"Wave_1359",-0.527473719837779
"Wave_1360",-0.599289105628613
"Wave_1361",-0.187743572224435
"Wave_1362",-0.573478446795296
"Wave_1363",-2.62331172569466
"Wave_1364",-3.98206094491689
"Wave_1365",-4.99818550619763
"Wave_1366",-7.87530832154227
"Wave_1367",-10.5185600008649
"Wave_1368",-11.3170112982347
"Wave_1369",-13.2651166913702
"Wave_1370",-15.1500997119634
"Wave_1371",-14.5817450780228
"Wave_1372",-14.024300085581
"Wave_1373",-14.9702347298654
"Wave_1374",-15.7141477367251
"Wave_1375",-14.3196455155636
"Wave_1376",-13.3522455540427
"Wave_1377",-14.4628511349241
"Wave_1378",-13.2510995089204
"Wave_1379",-12.5535372459812
"Wave_1380",-15.1920355339136
"Wave_1381",-17.3828311902899
"Wave_1382",-20.8563024805585
"Wave_1383",-22.4241630159018
"Wave_1384",-23.2064674304706
"Wave_1385",-23.5422103064379
"Wave_1386",-25.9828541102462
"Wave_1387",-27.6145096919257
"Wave_1388",-30.2404472793479
"Wave_1389",-30.7288030671046
"Wave_1390",-31.7603563928328
"Wave_1391",-31.6041255472252
"Wave_1392",-34.3175046744208
"Wave_1393",-32.7597151160289
"Wave_1394",-32.366985917212
"Wave_1395",-31.970418627396
"Wave_1396",-31.7470990346691
"Wave_1397",-28.4925626278905
"Wave_1398",-24.8588066976212
"Wave_1399",-23.511953566719
"Wave_1400",-22.2074565734563
"Wave_1401",-18.9534145779253
"Wave_1402",-14.7904564053691
"Wave_1403",-12.8470505297721
"Wave_1404",-11.0936442210215
"Wave_1405",-8.06860987760256
"Wave_1406",-4.27310850793486
"Wave_1407",-2.92198272572884
"Wave_1408",-2.85504399714048
"Wave_1409",-2.32346931782704
"Wave_1410",-0.790942336189277
"Wave_1411",0.704590135124001
"Wave_1412",0.68436875860366
"Wave_1413",1.17248511095108
"Wave_1414",2.95541668482497
"Wave_1415",3.53389197778712
"Wave_1416",1.25281130176766
"Wave_1417",0.0189400307601924
"Wave_1418",-0.602838850411243
"Wave_1419",-0.339531302425507
"Wave_1420",-2.32978396745856
"Wave_1421",-3.4386645488184
"Wave_1422",-3.59548976248051
"Wave_1423",-3.28712333526211
"Wave_1424",-5.49228857255192
"Wave_1425",-5.54305422755529
"Wave_1426",-4.92950948011013
"Wave_1427",-3.9227939293901
"Wave_1428",-5.6580495459214
"Wave_1429",-6.94325430865977
"Wave_1430",-9.04870789763898
"Wave_1431",-7.95899800298045
"Wave_1432",-6.88392480572423
"Wave_1433",-5.99118435275883
"Wave_1434",-5.32517774330619
"Wave_1435",-4.7029552622227
"Wave_1436",-2.98914302669901
"Wave_1437",-0.548941487345843
"Wave_1438",0.897831404286251
"Wave_1439",2.20339239143585
"Wave_1440",4.26702151269953
"Wave_1441",6.19391616764134
"Wave_1442",7.51907750813641
"Wave_1443",8.48716037919272
"Wave_1444",9.60669744098654
"Wave_1445",11.1479378659258
"Wave_1446",12.3911449145702
"Wave_1447",12.9283047702165
"Wave_1448",13.832089375103
"Wave_1449",15.7508035783232
"Wave_1450",17.4743054023214
"Wave_1451",18.3446176540735
"Wave_1452",19.7094602596606
"Wave_1453",20.7947446652755
"Wave_1454",20.7934831837418
"Wave_1455",20.8040226873903
"Wave_1456",21.9782720545906
"Wave_1457",22.7349502348371
"Wave_1458",23.2832653559358
"Wave_1459",22.5199751177897
"Wave_1460",21.4776540165625
"Wave_1461",21.736272912207
"Wave_1462",22.7599648107235
"Wave_1463",23.8735418806829
"Wave_1464",23.0793404216117
"Wave_1465",21.1243103034426
"Wave_1466",21.3622173039516
"Wave_1467",21.0170630347693
"Wave_1468",21.8691165677595
"Wave_1469",21.9596699743927
"Wave_1470",19.8501046591198
"Wave_1471",18.5600164414459
"Wave_1472",18.6130973931951
"Wave_1473",17.5052557328994
"Wave_1474",15.8476080083886
"Wave_1475",14.7837783740216
"Wave_1476",14.0172167544029
"Wave_1477",12.9044050590584
"Wave_1478",11.8213907581072
"Wave_1479",10.951372396624
"Wave_1480",10.2046143727964
"Wave_1481",9.34335939131838
"Wave_1482",8.45262372449393
"Wave_1483",7.85353327322942
"Wave_1484",7.18925260392516
"Wave_1485",6.44115593139682
"Wave_1486",4.4252686747722
"Wave_1487",2.04506971931728
"Wave_1488",0.992013136620388
"Wave_1489",-1.04284647521018
"Wave_1490",-3.3363506146342
"Wave_1491",-4.2658998715492
"Wave_1492",-6.35401698644504
"Wave_1493",-10.0459337352825
"Wave_1494",-12.3846449771059
"Wave_1495",-13.7388483610496
"Wave_1496",-15.7638319261326
"Wave_1497",-17.6045041260358
"Wave_1498",-19.3557150980466
"Wave_1499",-21.5016926631565
"Wave_1500",-24.4747944415843
"Wave_1501",-26.8843851618664
