"","PERC_C.11.comps"
"(Intercept)",46.0849132089555
"Wave_1500",-10.8183419640438
"Wave_1501",-10.6091583416861
"Wave_1502",-9.81740324775382
"Wave_1503",-9.27904153108324
"Wave_1504",-9.58100047951466
"Wave_1505",-9.51395933415843
"Wave_1506",-8.76379765183795
"Wave_1507",-8.49724606525666
"Wave_1508",-8.55687127527938
"Wave_1509",-8.44630664631678
"Wave_1510",-7.70427487845096
"Wave_1511",-7.04737680628962
"Wave_1512",-7.12348580355598
"Wave_1513",-6.97508765141963
"Wave_1514",-6.13330362709282
"Wave_1515",-6.01872831967965
"Wave_1516",-6.0403810379778
"Wave_1517",-5.9555479849927
"Wave_1518",-5.32334542760419
"Wave_1519",-4.69116817530644
"Wave_1520",-4.78709692313276
"Wave_1521",-5.2453285945139
"Wave_1522",-4.34853342053263
"Wave_1523",-4.00048901088133
"Wave_1524",-3.79508460257867
"Wave_1525",-3.88803390196377
"Wave_1526",-3.445310541205
"Wave_1527",-2.48053292057024
"Wave_1528",-2.5509249820925
"Wave_1529",-3.20815163082731
"Wave_1530",-2.0713649576227
"Wave_1531",-1.42092176263679
"Wave_1532",-1.38217261820756
"Wave_1533",-1.66989578497027
"Wave_1534",-1.30178530196963
"Wave_1535",-0.667332834342633
"Wave_1536",-1.00518302887573
"Wave_1537",-1.68895600555433
"Wave_1538",-0.935792815725886
"Wave_1539",-0.361409359856608
"Wave_1540",-0.924658530454596
"Wave_1541",-1.64389142070677
"Wave_1542",-0.89276656461732
"Wave_1543",-0.0981276330433709
"Wave_1544",-0.519475898827406
"Wave_1545",-1.28923103419145
"Wave_1546",-0.617909768873667
"Wave_1547",0.0355932743966074
"Wave_1548",-0.0547700226854661
"Wave_1549",-0.336300004005613
"Wave_1550",-0.0168794567416941
"Wave_1551",0.33178610919226
"Wave_1552",0.266435607097592
"Wave_1553",-0.0562068031374398
"Wave_1554",0.52314148489571
"Wave_1555",1.00263958075096
"Wave_1556",0.977919250385884
"Wave_1557",0.922143265735508
"Wave_1558",1.33486317186183
"Wave_1559",1.48136871721232
"Wave_1560",1.34882593912739
"Wave_1561",1.39547736029254
"Wave_1562",1.84198496603987
"Wave_1563",2.23513393485755
"Wave_1564",2.54375960023267
"Wave_1565",2.66176714372362
"Wave_1566",2.75783365390808
"Wave_1567",3.14742603021412
"Wave_1568",3.44597061850594
"Wave_1569",3.49434285643777
"Wave_1570",3.87482040611465
"Wave_1571",4.30005030213501
"Wave_1572",4.3903858795756
"Wave_1573",4.26202861316169
"Wave_1574",4.29819032562203
"Wave_1575",4.79921016447224
"Wave_1576",4.95647476106213
"Wave_1577",4.70404336353475
"Wave_1578",5.10753700216521
"Wave_1579",5.66453124959923
"Wave_1580",5.76111985453505
"Wave_1581",5.61288224537935
"Wave_1582",5.59539017044993
"Wave_1583",5.91064155448472
"Wave_1584",5.86378452715498
"Wave_1585",5.69917398744017
"Wave_1586",5.87351449032913
"Wave_1587",6.1075403297441
"Wave_1588",5.95111123652387
"Wave_1589",5.85354583791682
"Wave_1590",6.11980770219526
"Wave_1591",6.48010534271475
"Wave_1592",6.61321269363129
"Wave_1593",6.4753637058436
"Wave_1594",6.66676949810506
"Wave_1595",6.87838526057538
"Wave_1596",6.52501715576239
"Wave_1597",6.19310016291947
"Wave_1598",6.39212583305231
"Wave_1599",6.92532662064611
"Wave_1600",7.00011376104264
"Wave_1601",6.65164520788565
"Wave_1602",6.48959824316103
"Wave_1603",6.52380995769581
"Wave_1604",6.67464721946922
"Wave_1605",6.5286504677841
"Wave_1606",6.14267223841103
"Wave_1607",6.043724565491
"Wave_1608",6.21874170438546
"Wave_1609",6.13309611006963
"Wave_1610",5.87559119150567
"Wave_1611",5.81701938565655
"Wave_1612",5.78629253172301
"Wave_1613",5.87037466162262
"Wave_1614",6.05389935491365
"Wave_1615",6.15992430762251
"Wave_1616",6.03073943654506
"Wave_1617",5.72691809457378
"Wave_1618",5.54986297996999
"Wave_1619",5.4020656404193
"Wave_1620",5.19781319515865
"Wave_1621",5.05751850107648
"Wave_1622",4.83506134293296
"Wave_1623",4.84077346843176
"Wave_1624",4.88439247022018
"Wave_1625",4.72665381572471
"Wave_1626",4.79095168931198
"Wave_1627",4.71473430985141
"Wave_1628",4.00680687192088
"Wave_1629",3.20138870941246
"Wave_1630",2.51128868615929
"Wave_1631",2.10161616004757
"Wave_1632",1.71304866987778
"Wave_1633",0.438146235693637
"Wave_1634",-0.884447789458499
"Wave_1635",-1.35133574895311
"Wave_1636",-1.89336549576066
"Wave_1637",-2.52506418257736
"Wave_1638",-2.61758506936914
"Wave_1639",-2.81174074190056
"Wave_1640",-3.13272324013753
"Wave_1641",-3.56310787792822
"Wave_1642",-3.97718804652675
"Wave_1643",-4.22808797050614
"Wave_1644",-4.14594883911095
"Wave_1645",-3.68390765958369
"Wave_1646",-3.05075655425992
"Wave_1647",-3.05893314550335
"Wave_1648",-3.29534090996551
"Wave_1649",-3.13589123748558
"Wave_1650",-2.87766008285739
"Wave_1651",-3.31436200969483
"Wave_1652",-3.42488121447315
"Wave_1653",-3.22083550116943
"Wave_1654",-3.78199418964919
"Wave_1655",-4.35013888302165
