"","CELL_PERC_DW.13.comps"
"(Intercept)",22.9003256900436
"Wave_1200",63.118895795517
"Wave_1201",60.7016080037641
"Wave_1202",59.5671003174143
"Wave_1203",57.9330077536586
"Wave_1204",56.4318113217611
"Wave_1205",56.1749897820596
"Wave_1206",54.7386601321668
"Wave_1207",53.2427743158808
"Wave_1208",52.4967182592381
"Wave_1209",50.3300094935337
"Wave_1210",45.5717376754862
"Wave_1211",39.8622736208921
"Wave_1212",37.1189882243006
"Wave_1213",35.9411029984249
"Wave_1214",33.1160075858372
"Wave_1215",29.8673454304111
"Wave_1216",26.5404910000204
"Wave_1217",21.5174737505872
"Wave_1218",16.5580686235744
"Wave_1219",12.1654562353027
"Wave_1220",10.9620560528704
"Wave_1221",10.4922262899802
"Wave_1222",8.48692850301867
"Wave_1223",6.24993359149445
"Wave_1224",6.75936733601662
"Wave_1225",6.34565962145573
"Wave_1226",3.07694578154259
"Wave_1227",0.0543109763075793
"Wave_1228",-1.80850782287501
"Wave_1229",-2.00927251793627
"Wave_1230",-2.5788851570511
"Wave_1231",-4.81354905836194
"Wave_1232",-6.2381968183534
"Wave_1233",-6.55013245823561
"Wave_1234",-6.2657198195473
"Wave_1235",-7.60809776373315
"Wave_1236",-10.2611889374559
"Wave_1237",-10.351190393145
"Wave_1238",-10.749608196639
"Wave_1239",-12.4222014970762
"Wave_1240",-13.1649913418713
"Wave_1241",-13.3501699354275
"Wave_1242",-13.608583860025
"Wave_1243",-13.5174404757832
"Wave_1244",-13.8714015827212
"Wave_1245",-14.3136719851368
"Wave_1246",-12.8386368665642
"Wave_1247",-13.2040258502219
"Wave_1248",-16.2941768393258
"Wave_1249",-14.6154510991551
"Wave_1250",-10.9333019446307
"Wave_1251",-13.0362210292624
"Wave_1252",-16.5579322523417
"Wave_1253",-16.2115912417419
"Wave_1254",-13.7319071428046
"Wave_1255",-12.0310997043235
"Wave_1256",-13.4728138012202
"Wave_1257",-16.5156930721332
"Wave_1258",-18.1162018788285
"Wave_1259",-17.2463076507708
"Wave_1260",-16.7984456190891
"Wave_1261",-17.3264261666538
"Wave_1262",-18.4027912523775
"Wave_1263",-19.0584161641656
"Wave_1264",-19.7637026442069
"Wave_1265",-20.8322320693008
"Wave_1266",-22.0650922847172
"Wave_1267",-23.8680951008966
"Wave_1268",-25.5474025852146
"Wave_1269",-25.0232419461817
"Wave_1270",-23.1753637560586
"Wave_1271",-21.9759335386748
"Wave_1272",-22.2342449798282
"Wave_1273",-23.4975927430412
"Wave_1274",-25.1707208375757
"Wave_1275",-25.9268079826916
"Wave_1276",-24.6522988387197
"Wave_1277",-23.3811918576262
"Wave_1278",-23.2806742851957
"Wave_1279",-24.0325536198234
"Wave_1280",-24.0215784871369
"Wave_1281",-22.6854420911735
"Wave_1282",-21.4696352159921
"Wave_1283",-24.8347339326524
"Wave_1284",-29.4110691746116
"Wave_1285",-26.3459283103423
"Wave_1286",-22.6063185298972
"Wave_1287",-22.1404068777113
"Wave_1288",-24.1068554666753
"Wave_1289",-23.5899652346332
"Wave_1290",-19.923655524253
"Wave_1291",-16.2130966788728
"Wave_1292",-12.653269275131
"Wave_1293",-9.95744442164377
"Wave_1294",-10.6742114526019
"Wave_1295",-11.0954651145903
"Wave_1296",-7.90733161016808
"Wave_1297",-6.06626161894503
"Wave_1298",-7.05239797778572
"Wave_1299",-6.46944476297789
"Wave_1300",-4.15459069651359
"Wave_1301",-2.523346231359
"Wave_1302",-0.718148813658476
"Wave_1303",1.35851969721854
"Wave_1304",1.46123795313149
"Wave_1305",2.27130476829134
"Wave_1306",2.47450694716656
"Wave_1307",2.69014520457809
"Wave_1308",2.869269192084
"Wave_1309",3.80462744609355
"Wave_1310",2.02282326995166
"Wave_1311",2.40245071908109
"Wave_1312",4.90066389265686
"Wave_1313",6.81914101967595
"Wave_1314",6.86228263312309
"Wave_1315",7.64232648251382
"Wave_1316",10.0456513635592
"Wave_1317",12.4472177542916
"Wave_1318",11.9301654009932
"Wave_1319",9.80340795653481
"Wave_1320",10.1790814434985
"Wave_1321",14.7685815547944
