"","PERC_N.11.comps"
"(Intercept)",1.80989016156295
"Wave_1500",7.7222897869174
"Wave_1501",7.47757858505335
"Wave_1502",7.05235496432379
"Wave_1503",6.59320202197739
"Wave_1504",6.3339918550051
"Wave_1505",6.0550785687938
"Wave_1506",5.63067991208193
"Wave_1507",5.24966150501373
"Wave_1508",4.99619387458701
"Wave_1509",4.73563924486588
"Wave_1510",4.41523595239309
"Wave_1511",4.17382073509612
"Wave_1512",3.95659859847098
"Wave_1513",3.69780907316706
"Wave_1514",3.42232720547921
"Wave_1515",3.22858873815545
"Wave_1516",2.97328123316691
"Wave_1517",2.65962700935993
"Wave_1518",2.43354523218623
"Wave_1519",2.24451415870274
"Wave_1520",2.00089656449126
"Wave_1521",1.78314511038777
"Wave_1522",1.56546234663322
"Wave_1523",1.41752441030746
"Wave_1524",1.20674410354371
"Wave_1525",1.01252760768043
"Wave_1526",0.845381501978151
"Wave_1527",0.641704234546283
"Wave_1528",0.541304519870868
"Wave_1529",0.491226779124683
"Wave_1530",0.183457411600574
"Wave_1531",-0.0098632230402973
"Wave_1532",-0.0315036053591962
"Wave_1533",-0.127896144250569
"Wave_1534",-0.288570756744468
"Wave_1535",-0.395854729931638
"Wave_1536",-0.477999314429503
"Wave_1537",-0.525455641056986
"Wave_1538",-0.586775314703436
"Wave_1539",-0.673244435221046
"Wave_1540",-0.704000473954242
"Wave_1541",-0.673093830153463
"Wave_1542",-0.699684576266783
"Wave_1543",-0.701915871433143
"Wave_1544",-0.701048135916673
"Wave_1545",-0.748172178128344
"Wave_1546",-0.83152465005126
"Wave_1547",-0.816251501755292
"Wave_1548",-0.792423568624761
"Wave_1549",-0.7720569198588
"Wave_1550",-0.772989149980788
"Wave_1551",-0.83659632716096
"Wave_1552",-0.883646162855988
"Wave_1553",-0.860017779192819
"Wave_1554",-0.870383923285345
"Wave_1555",-0.885559891064576
"Wave_1556",-0.868145481123898
"Wave_1557",-0.870391068645106
"Wave_1558",-0.953562407585557
"Wave_1559",-1.07457040110274
"Wave_1560",-1.19915913522876
"Wave_1561",-1.20601859939182
"Wave_1562",-1.18461646053955
"Wave_1563",-1.22992331516202
"Wave_1564",-1.29298072903576
"Wave_1565",-1.41260958407969
"Wave_1566",-1.56407016113749
"Wave_1567",-1.66852839768862
"Wave_1568",-1.78278205627063
"Wave_1569",-1.90546411927982
"Wave_1570",-2.01286176084742
"Wave_1571",-2.06480278227891
"Wave_1572",-2.11742520059689
"Wave_1573",-2.18519141692525
"Wave_1574",-2.26166266377016
"Wave_1575",-2.35322932598159
"Wave_1576",-2.38830050476405
"Wave_1577",-2.34149354744008
"Wave_1578",-2.33524397360269
"Wave_1579",-2.42560627073521
"Wave_1580",-2.47248974348277
"Wave_1581",-2.41584757110863
"Wave_1582",-2.41732973260061
"Wave_1583",-2.48173416317026
"Wave_1584",-2.4303785567133
"Wave_1585",-2.30748426475341
"Wave_1586",-2.26506903685612
"Wave_1587",-2.29941126312595
"Wave_1588",-2.26771179704032
"Wave_1589",-2.2349060396481
"Wave_1590",-2.24394911440698
"Wave_1591",-2.27816345630903
"Wave_1592",-2.31245765160899
"Wave_1593",-2.27546322023709
"Wave_1594",-2.30307953282533
"Wave_1595",-2.30415715228755
"Wave_1596",-2.20414912404951
"Wave_1597",-2.13996090255036
"Wave_1598",-2.05642908481202
"Wave_1599",-2.02251070112578
"Wave_1600",-2.04986687259073
"Wave_1601",-1.98088505505893
"Wave_1602",-1.92522967567383
"Wave_1603",-1.9666893131988
"Wave_1604",-2.02903450113909
"Wave_1605",-2.05150599781623
"Wave_1606",-2.04821754379345
"Wave_1607",-2.0245467827814
"Wave_1608",-1.97970623194311
"Wave_1609",-1.96272928386579
"Wave_1610",-1.97257268364985
"Wave_1611",-1.99220760461708
"Wave_1612",-2.0131048357185
"Wave_1613",-1.96165238040232
"Wave_1614",-1.87689991420309
"Wave_1615",-1.88465413479884
"Wave_1616",-1.99749319074292
